Time,Name,consumo atual,% de limiar,Instâncias atuais,Instâncias máximas
2023-11-02 00:58:57,hpa-server,10%,30%,8,12
2023-11-02 00:59:00,hpa-server,10%,30%,8,12
2023-11-02 00:59:03,hpa-server,10%,30%,8,12
2023-11-02 00:59:06,hpa-server,38%,30%,10,12
2023-11-02 00:59:09,hpa-server,38%,30%,10,12
2023-11-02 00:59:12,hpa-server,38%,30%,10,12
2023-11-02 00:59:15,hpa-server,38%,30%,10,12
2023-11-02 00:59:18,hpa-server,38%,30%,10,12
2023-11-02 00:59:21,hpa-server,38%,30%,10,12
2023-11-02 00:59:24,hpa-server,38%,30%,10,12
2023-11-02 00:59:27,hpa-server,38%,30%,10,12
2023-11-02 00:59:30,hpa-server,38%,30%,10,12
2023-11-02 00:59:33,hpa-server,38%,30%,10,12
2023-11-02 00:59:37,hpa-server,38%,30%,10,12
2023-11-02 00:59:40,hpa-server,38%,30%,10,12
2023-11-02 00:59:43,hpa-server,38%,30%,10,12
2023-11-02 00:59:46,hpa-server,38%,30%,10,12
2023-11-02 00:59:49,hpa-server,38%,30%,10,12
2023-11-02 00:59:52,hpa-server,38%,30%,10,12
2023-11-02 00:59:55,hpa-server,38%,30%,10,12
2023-11-02 00:59:58,hpa-server,38%,30%,10,12
2023-11-02 01:00:01,hpa-server,38%,30%,10,12
2023-11-02 01:00:04,hpa-server,38%,30%,10,12
2023-11-02 01:00:07,hpa-server,8%,30%,10,12
2023-11-02 01:00:10,hpa-server,8%,30%,10,12
2023-11-02 01:00:13,hpa-server,8%,30%,10,12
2023-11-02 01:00:16,hpa-server,8%,30%,10,12
2023-11-02 01:00:19,hpa-server,8%,30%,10,12
2023-11-02 01:00:22,hpa-server,8%,30%,10,12
2023-11-02 01:00:26,hpa-server,8%,30%,10,12
2023-11-02 01:00:29,hpa-server,8%,30%,10,12
2023-11-02 01:00:32,hpa-server,8%,30%,10,12
2023-11-02 01:00:35,hpa-server,8%,30%,10,12
2023-11-02 01:00:38,hpa-server,8%,30%,10,12
2023-11-02 01:00:41,hpa-server,8%,30%,10,12
2023-11-02 01:00:44,hpa-server,8%,30%,10,12
2023-11-02 01:00:47,hpa-server,8%,30%,10,12
2023-11-02 01:00:50,hpa-server,8%,30%,10,12
2023-11-02 01:00:53,hpa-server,8%,30%,10,12
2023-11-02 01:00:56,hpa-server,8%,30%,10,12
2023-11-02 01:00:59,hpa-server,8%,30%,10,12
2023-11-02 01:01:02,hpa-server,8%,30%,10,12
2023-11-02 01:01:05,hpa-server,8%,30%,10,12
2023-11-02 01:01:09,hpa-server,37%,30%,10,12
2023-11-02 01:01:12,hpa-server,37%,30%,10,12
2023-11-02 01:01:15,hpa-server,37%,30%,10,12
2023-11-02 01:01:18,hpa-server,37%,30%,10,12
2023-11-02 01:01:21,hpa-server,37%,30%,10,12
2023-11-02 01:01:24,hpa-server,37%,30%,10,12
2023-11-02 01:01:27,hpa-server,37%,30%,10,12
2023-11-02 01:01:30,hpa-server,37%,30%,10,12
2023-11-02 01:01:33,hpa-server,37%,30%,10,12
2023-11-02 01:01:36,hpa-server,37%,30%,10,12
2023-11-02 01:01:39,hpa-server,37%,30%,10,12
2023-11-02 01:01:42,hpa-server,37%,30%,10,12
2023-11-02 01:01:45,hpa-server,37%,30%,10,12
2023-11-02 01:01:49,hpa-server,37%,30%,10,12
2023-11-02 01:01:52,hpa-server,37%,30%,10,12
2023-11-02 01:01:55,hpa-server,37%,30%,10,12
2023-11-02 01:01:58,hpa-server,37%,30%,10,12
2023-11-02 01:02:01,hpa-server,37%,30%,10,12
2023-11-02 01:02:04,hpa-server,37%,30%,10,12
2023-11-02 01:02:07,hpa-server,8%,30%,12,12
2023-11-02 01:02:10,hpa-server,8%,30%,12,12
2023-11-02 01:02:13,hpa-server,8%,30%,12,12
2023-11-02 01:02:16,hpa-server,8%,30%,12,12
2023-11-02 01:02:19,hpa-server,8%,30%,12,12
2023-11-02 01:02:22,hpa-server,8%,30%,12,12
2023-11-02 01:02:26,hpa-server,8%,30%,12,12
2023-11-02 01:02:29,hpa-server,8%,30%,12,12
2023-11-02 01:02:32,hpa-server,8%,30%,12,12
2023-11-02 01:02:35,hpa-server,8%,30%,12,12
2023-11-02 01:02:38,hpa-server,8%,30%,12,12
2023-11-02 01:02:41,hpa-server,8%,30%,12,12
2023-11-02 01:02:44,hpa-server,8%,30%,12,12
2023-11-02 01:02:47,hpa-server,8%,30%,12,12
2023-11-02 01:02:50,hpa-server,8%,30%,12,12
2023-11-02 01:02:53,hpa-server,8%,30%,12,12
2023-11-02 01:02:56,hpa-server,8%,30%,12,12
2023-11-02 01:02:59,hpa-server,8%,30%,12,12
2023-11-02 01:03:02,hpa-server,8%,30%,12,12
2023-11-02 01:03:05,hpa-server,8%,30%,12,12
2023-11-02 01:03:08,hpa-server,34%,30%,12,12
2023-11-02 01:03:11,hpa-server,34%,30%,12,12
2023-11-02 01:03:14,hpa-server,34%,30%,12,12
2023-11-02 01:03:18,hpa-server,34%,30%,12,12
2023-11-02 01:03:21,hpa-server,34%,30%,12,12
2023-11-02 01:03:24,hpa-server,34%,30%,12,12
2023-11-02 01:03:27,hpa-server,34%,30%,12,12
2023-11-02 01:03:30,hpa-server,34%,30%,12,12
2023-11-02 01:03:33,hpa-server,34%,30%,12,12
2023-11-02 01:03:36,hpa-server,34%,30%,12,12
2023-11-02 01:03:39,hpa-server,34%,30%,12,12
2023-11-02 01:03:42,hpa-server,34%,30%,12,12
2023-11-02 01:03:45,hpa-server,34%,30%,12,12
2023-11-02 01:03:48,hpa-server,34%,30%,12,12
2023-11-02 01:03:51,hpa-server,34%,30%,12,12
2023-11-02 01:03:54,hpa-server,34%,30%,12,12
2023-11-02 01:03:57,hpa-server,34%,30%,12,12
2023-11-02 01:04:00,hpa-server,34%,30%,12,12
2023-11-02 01:04:03,hpa-server,34%,30%,12,12
2023-11-02 01:04:06,hpa-server,8%,30%,12,12
2023-11-02 01:04:09,hpa-server,8%,30%,12,12
2023-11-02 01:04:13,hpa-server,8%,30%,12,12
2023-11-02 01:04:16,hpa-server,8%,30%,12,12
2023-11-02 01:04:19,hpa-server,8%,30%,12,12
2023-11-02 01:04:22,hpa-server,8%,30%,12,12
2023-11-02 01:04:25,hpa-server,8%,30%,12,12
2023-11-02 01:04:28,hpa-server,8%,30%,12,12
2023-11-02 01:04:31,hpa-server,8%,30%,12,12
2023-11-02 01:04:34,hpa-server,8%,30%,12,12
2023-11-02 01:04:37,hpa-server,8%,30%,12,12
2023-11-02 01:04:40,hpa-server,8%,30%,12,12
2023-11-02 01:04:43,hpa-server,8%,30%,12,12
2023-11-02 01:04:46,hpa-server,8%,30%,12,12
2023-11-02 01:04:49,hpa-server,8%,30%,12,12
2023-11-02 01:04:52,hpa-server,8%,30%,12,12
2023-11-02 01:04:55,hpa-server,8%,30%,12,12
2023-11-02 01:04:58,hpa-server,8%,30%,12,12
2023-11-02 01:05:01,hpa-server,8%,30%,12,12
2023-11-02 01:05:04,hpa-server,8%,30%,12,12
2023-11-02 01:05:08,hpa-server,37%,30%,12,12
2023-11-02 01:05:11,hpa-server,37%,30%,12,12
2023-11-02 01:05:14,hpa-server,37%,30%,12,12
2023-11-02 01:05:17,hpa-server,37%,30%,12,12
2023-11-02 01:05:20,hpa-server,37%,30%,12,12
2023-11-02 01:05:23,hpa-server,37%,30%,12,12
2023-11-02 01:05:26,hpa-server,37%,30%,12,12
2023-11-02 01:05:29,hpa-server,37%,30%,12,12
2023-11-02 01:05:32,hpa-server,37%,30%,12,12
2023-11-02 01:05:35,hpa-server,37%,30%,12,12
2023-11-02 01:05:38,hpa-server,37%,30%,12,12
2023-11-02 01:05:41,hpa-server,37%,30%,12,12
2023-11-02 01:05:44,hpa-server,37%,30%,12,12
2023-11-02 01:05:47,hpa-server,37%,30%,12,12
2023-11-02 01:05:50,hpa-server,37%,30%,12,12
2023-11-02 01:05:53,hpa-server,37%,30%,12,12
2023-11-02 01:05:56,hpa-server,37%,30%,12,12
2023-11-02 01:05:59,hpa-server,37%,30%,12,12
2023-11-02 01:06:02,hpa-server,37%,30%,12,12
2023-11-02 01:06:05,hpa-server,37%,30%,12,12
2023-11-02 01:06:08,hpa-server,2%,30%,12,12
2023-11-02 01:06:12,hpa-server,2%,30%,12,12
2023-11-02 01:06:15,hpa-server,2%,30%,12,12
2023-11-02 01:06:18,hpa-server,2%,30%,12,12
2023-11-02 01:06:21,hpa-server,2%,30%,12,12
2023-11-02 01:06:24,hpa-server,2%,30%,12,12
2023-11-02 01:06:27,hpa-server,2%,30%,12,12
2023-11-02 01:06:30,hpa-server,2%,30%,12,12
2023-11-02 01:06:33,hpa-server,2%,30%,12,12
2023-11-02 01:06:36,hpa-server,2%,30%,12,12
2023-11-02 01:06:39,hpa-server,2%,30%,12,12
2023-11-02 01:06:42,hpa-server,2%,30%,12,12
2023-11-02 01:06:45,hpa-server,2%,30%,12,12
2023-11-02 01:06:48,hpa-server,2%,30%,12,12
2023-11-02 01:06:51,hpa-server,2%,30%,12,12
2023-11-02 01:06:54,hpa-server,2%,30%,12,12
2023-11-02 01:06:57,hpa-server,2%,30%,12,12
2023-11-02 01:07:00,hpa-server,2%,30%,12,12
2023-11-02 01:07:03,hpa-server,2%,30%,12,12
2023-11-02 01:07:06,hpa-server,2%,30%,12,12
2023-11-02 01:07:10,hpa-server,2%,30%,12,12
2023-11-02 01:07:13,hpa-server,2%,30%,12,12
2023-11-02 01:07:16,hpa-server,2%,30%,12,12
2023-11-02 01:07:19,hpa-server,2%,30%,12,12
2023-11-02 01:07:22,hpa-server,2%,30%,12,12
2023-11-02 01:07:25,hpa-server,2%,30%,12,12
2023-11-02 01:07:28,hpa-server,2%,30%,12,12
2023-11-02 01:07:31,hpa-server,2%,30%,12,12
2023-11-02 01:07:34,hpa-server,2%,30%,12,12
2023-11-02 01:07:37,hpa-server,2%,30%,12,12
2023-11-02 01:07:40,hpa-server,2%,30%,12,12
