Time,Name,consumo atual,% de limiar,Instâncias atuais,Instâncias máximas
2023-11-02 01:12:00,hpa-server,3%,30%,1,12
2023-11-02 01:12:03,hpa-server,3%,30%,1,12
2023-11-02 01:12:06,hpa-server,3%,30%,1,12
2023-11-02 01:12:09,hpa-server,3%,30%,1,12
2023-11-02 01:12:12,hpa-server,3%,30%,1,12
2023-11-02 01:12:16,hpa-server,3%,30%,1,12
2023-11-02 01:12:19,hpa-server,3%,30%,1,12
2023-11-02 01:12:22,hpa-server,3%,30%,1,12
2023-11-02 01:12:25,hpa-server,3%,30%,1,12
2023-11-02 01:12:28,hpa-server,3%,30%,1,12
2023-11-02 01:12:31,hpa-server,3%,30%,1,12
2023-11-02 01:12:34,hpa-server,3%,30%,1,12
2023-11-02 01:12:37,hpa-server,3%,30%,1,12
2023-11-02 01:12:40,hpa-server,3%,30%,1,12
2023-11-02 01:12:43,hpa-server,3%,30%,1,12
2023-11-02 01:12:46,hpa-server,3%,30%,1,12
2023-11-02 01:12:49,hpa-server,3%,30%,1,12
2023-11-02 01:12:52,hpa-server,3%,30%,1,12
2023-11-02 01:12:55,hpa-server,3%,30%,1,12
2023-11-02 01:12:58,hpa-server,3%,30%,1,12
2023-11-02 01:13:01,hpa-server,3%,30%,1,12
2023-11-02 01:13:04,hpa-server,3%,30%,1,12
2023-11-02 01:13:07,hpa-server,138%,30%,1,12
2023-11-02 01:13:10,hpa-server,138%,30%,1,12
2023-11-02 01:13:14,hpa-server,138%,30%,1,12
2023-11-02 01:13:17,hpa-server,138%,30%,1,12
2023-11-02 01:13:20,hpa-server,138%,30%,1,12
2023-11-02 01:13:23,hpa-server,138%,30%,1,12
2023-11-02 01:13:26,hpa-server,138%,30%,1,12
2023-11-02 01:13:29,hpa-server,138%,30%,1,12
2023-11-02 01:13:32,hpa-server,138%,30%,1,12
2023-11-02 01:13:35,hpa-server,138%,30%,1,12
2023-11-02 01:13:38,hpa-server,138%,30%,1,12
2023-11-02 01:13:41,hpa-server,138%,30%,1,12
2023-11-02 01:13:44,hpa-server,138%,30%,1,12
2023-11-02 01:13:47,hpa-server,138%,30%,1,12
2023-11-02 01:13:50,hpa-server,138%,30%,1,12
2023-11-02 01:13:54,hpa-server,138%,30%,1,12
2023-11-02 01:13:57,hpa-server,138%,30%,1,12
2023-11-02 01:14:00,hpa-server,138%,30%,1,12
2023-11-02 01:14:03,hpa-server,138%,30%,1,12
2023-11-02 01:14:06,hpa-server,138%,30%,1,12
2023-11-02 01:14:09,hpa-server,108%,30%,4,12
2023-11-02 01:14:12,hpa-server,108%,30%,4,12
2023-11-02 01:14:15,hpa-server,108%,30%,4,12
2023-11-02 01:14:18,hpa-server,108%,30%,4,12
2023-11-02 01:14:21,hpa-server,108%,30%,4,12
2023-11-02 01:14:24,hpa-server,108%,30%,4,12
2023-11-02 01:14:27,hpa-server,108%,30%,4,12
2023-11-02 01:14:30,hpa-server,108%,30%,4,12
2023-11-02 01:14:33,hpa-server,108%,30%,4,12
2023-11-02 01:14:37,hpa-server,108%,30%,4,12
2023-11-02 01:14:40,hpa-server,108%,30%,4,12
2023-11-02 01:14:43,hpa-server,108%,30%,4,12
2023-11-02 01:14:46,hpa-server,108%,30%,4,12
2023-11-02 01:14:49,hpa-server,108%,30%,4,12
2023-11-02 01:14:52,hpa-server,108%,30%,4,12
2023-11-02 01:14:55,hpa-server,108%,30%,4,12
2023-11-02 01:14:58,hpa-server,108%,30%,4,12
2023-11-02 01:15:01,hpa-server,108%,30%,4,12
2023-11-02 01:15:04,hpa-server,108%,30%,4,12
2023-11-02 01:15:07,hpa-server,42%,30%,5,12
2023-11-02 01:15:10,hpa-server,42%,30%,5,12
2023-11-02 01:15:13,hpa-server,42%,30%,5,12
2023-11-02 01:15:16,hpa-server,42%,30%,5,12
2023-11-02 01:15:20,hpa-server,42%,30%,5,12
2023-11-02 01:15:23,hpa-server,42%,30%,5,12
2023-11-02 01:15:26,hpa-server,42%,30%,5,12
2023-11-02 01:15:29,hpa-server,42%,30%,5,12
2023-11-02 01:15:32,hpa-server,42%,30%,5,12
2023-11-02 01:15:35,hpa-server,42%,30%,5,12
2023-11-02 01:15:38,hpa-server,42%,30%,5,12
2023-11-02 01:15:41,hpa-server,42%,30%,5,12
2023-11-02 01:15:44,hpa-server,42%,30%,5,12
2023-11-02 01:15:47,hpa-server,42%,30%,5,12
2023-11-02 01:15:50,hpa-server,42%,30%,5,12
2023-11-02 01:15:53,hpa-server,42%,30%,5,12
2023-11-02 01:15:56,hpa-server,42%,30%,5,12
2023-11-02 01:15:59,hpa-server,42%,30%,5,12
2023-11-02 01:16:02,hpa-server,42%,30%,5,12
2023-11-02 01:16:05,hpa-server,42%,30%,5,12
2023-11-02 01:16:09,hpa-server,35%,30%,6,12
2023-11-02 01:16:12,hpa-server,35%,30%,6,12
2023-11-02 01:16:15,hpa-server,35%,30%,6,12
2023-11-02 01:16:18,hpa-server,35%,30%,6,12
2023-11-02 01:16:21,hpa-server,35%,30%,6,12
2023-11-02 01:16:24,hpa-server,35%,30%,6,12
2023-11-02 01:16:27,hpa-server,35%,30%,6,12
2023-11-02 01:16:30,hpa-server,35%,30%,6,12
2023-11-02 01:16:33,hpa-server,35%,30%,6,12
2023-11-02 01:16:36,hpa-server,35%,30%,6,12
2023-11-02 01:16:39,hpa-server,35%,30%,6,12
2023-11-02 01:16:42,hpa-server,35%,30%,6,12
2023-11-02 01:16:45,hpa-server,35%,30%,6,12
2023-11-02 01:16:48,hpa-server,35%,30%,6,12
2023-11-02 01:16:51,hpa-server,35%,30%,6,12
2023-11-02 01:16:54,hpa-server,35%,30%,6,12
2023-11-02 01:16:58,hpa-server,35%,30%,6,12
2023-11-02 01:17:01,hpa-server,35%,30%,6,12
2023-11-02 01:17:04,hpa-server,35%,30%,6,12
