Time,Name,consumo atual,% de limiar,Instâncias atuais,Instâncias máximas
2023-11-02 01:44:52,hpa-server,22%,30%,7,12
2023-11-02 01:44:55,hpa-server,22%,30%,7,12
2023-11-02 01:44:58,hpa-server,22%,30%,7,12
2023-11-02 01:45:01,hpa-server,22%,30%,7,12
2023-11-02 01:45:04,hpa-server,22%,30%,7,12
2023-11-02 01:45:07,hpa-server,22%,30%,7,12
2023-11-02 01:45:10,hpa-server,39%,30%,7,12
2023-11-02 01:45:13,hpa-server,39%,30%,7,12
2023-11-02 01:45:16,hpa-server,39%,30%,7,12
2023-11-02 01:45:19,hpa-server,39%,30%,7,12
2023-11-02 01:45:22,hpa-server,39%,30%,7,12
2023-11-02 01:45:25,hpa-server,39%,30%,7,12
2023-11-02 01:45:28,hpa-server,39%,30%,7,12
2023-11-02 01:45:31,hpa-server,39%,30%,7,12
2023-11-02 01:45:34,hpa-server,39%,30%,7,12
2023-11-02 01:45:38,hpa-server,39%,30%,7,12
2023-11-02 01:45:41,hpa-server,39%,30%,7,12
2023-11-02 01:45:44,hpa-server,39%,30%,7,12
2023-11-02 01:45:47,hpa-server,39%,30%,7,12
2023-11-02 01:45:50,hpa-server,39%,30%,7,12
2023-11-02 01:45:53,hpa-server,39%,30%,7,12
2023-11-02 01:45:56,hpa-server,39%,30%,7,12
2023-11-02 01:45:59,hpa-server,39%,30%,7,12
2023-11-02 01:46:02,hpa-server,39%,30%,7,12
2023-11-02 01:46:05,hpa-server,39%,30%,7,12
2023-11-02 01:46:08,hpa-server,17%,30%,10,12
2023-11-02 01:46:11,hpa-server,17%,30%,10,12
2023-11-02 01:46:14,hpa-server,17%,30%,10,12
2023-11-02 01:46:17,hpa-server,17%,30%,10,12
2023-11-02 01:46:20,hpa-server,17%,30%,10,12
2023-11-02 01:46:24,hpa-server,17%,30%,10,12
2023-11-02 01:46:27,hpa-server,17%,30%,10,12
2023-11-02 01:46:30,hpa-server,17%,30%,10,12
2023-11-02 01:46:33,hpa-server,17%,30%,10,12
2023-11-02 01:46:36,hpa-server,17%,30%,10,12
2023-11-02 01:46:39,hpa-server,17%,30%,10,12
2023-11-02 01:46:42,hpa-server,17%,30%,10,12
2023-11-02 01:46:45,hpa-server,17%,30%,10,12
2023-11-02 01:46:48,hpa-server,17%,30%,10,12
2023-11-02 01:46:51,hpa-server,17%,30%,10,12
2023-11-02 01:46:54,hpa-server,17%,30%,10,12
2023-11-02 01:46:57,hpa-server,17%,30%,10,12
2023-11-02 01:47:00,hpa-server,17%,30%,10,12
2023-11-02 01:47:03,hpa-server,17%,30%,10,12
2023-11-02 01:47:06,hpa-server,17%,30%,10,12
2023-11-02 01:47:09,hpa-server,29%,30%,10,12
2023-11-02 01:47:12,hpa-server,29%,30%,10,12
2023-11-02 01:47:16,hpa-server,29%,30%,10,12
2023-11-02 01:47:19,hpa-server,29%,30%,10,12
2023-11-02 01:47:22,hpa-server,29%,30%,10,12
2023-11-02 01:47:25,hpa-server,29%,30%,10,12
2023-11-02 01:47:28,hpa-server,29%,30%,10,12
2023-11-02 01:47:31,hpa-server,29%,30%,10,12
2023-11-02 01:47:34,hpa-server,29%,30%,10,12
2023-11-02 01:47:37,hpa-server,29%,30%,10,12
2023-11-02 01:47:40,hpa-server,29%,30%,10,12
2023-11-02 01:47:43,hpa-server,29%,30%,10,12
2023-11-02 01:47:46,hpa-server,29%,30%,10,12
2023-11-02 01:47:49,hpa-server,29%,30%,10,12
2023-11-02 01:47:52,hpa-server,29%,30%,10,12
2023-11-02 01:47:55,hpa-server,29%,30%,10,12
2023-11-02 01:47:58,hpa-server,29%,30%,10,12
2023-11-02 01:48:01,hpa-server,29%,30%,10,12
2023-11-02 01:48:04,hpa-server,29%,30%,10,12
2023-11-02 01:48:08,hpa-server,16%,30%,10,12
2023-11-02 01:48:11,hpa-server,16%,30%,10,12
2023-11-02 01:48:14,hpa-server,16%,30%,10,12
2023-11-02 01:48:17,hpa-server,16%,30%,10,12
2023-11-02 01:48:20,hpa-server,16%,30%,10,12
2023-11-02 01:48:23,hpa-server,16%,30%,10,12
2023-11-02 01:48:26,hpa-server,16%,30%,10,12
2023-11-02 01:48:29,hpa-server,16%,30%,10,12
2023-11-02 01:48:32,hpa-server,16%,30%,10,12
2023-11-02 01:48:35,hpa-server,16%,30%,10,12
2023-11-02 01:48:38,hpa-server,16%,30%,10,12
2023-11-02 01:48:41,hpa-server,16%,30%,10,12
2023-11-02 01:48:44,hpa-server,16%,30%,10,12
2023-11-02 01:48:47,hpa-server,16%,30%,10,12
2023-11-02 01:48:50,hpa-server,16%,30%,10,12
2023-11-02 01:48:53,hpa-server,16%,30%,10,12
2023-11-02 01:48:57,hpa-server,16%,30%,10,12
2023-11-02 01:49:00,hpa-server,16%,30%,10,12
2023-11-02 01:49:03,hpa-server,16%,30%,10,12
2023-11-02 01:49:06,hpa-server,16%,30%,10,12
2023-11-02 01:49:09,hpa-server,29%,30%,10,12
2023-11-02 01:49:12,hpa-server,29%,30%,10,12
2023-11-02 01:49:15,hpa-server,29%,30%,10,12
2023-11-02 01:49:18,hpa-server,29%,30%,10,12
2023-11-02 01:49:21,hpa-server,29%,30%,10,12
2023-11-02 01:49:24,hpa-server,29%,30%,10,12
2023-11-02 01:49:27,hpa-server,29%,30%,10,12
2023-11-02 01:49:30,hpa-server,29%,30%,10,12
2023-11-02 01:49:33,hpa-server,29%,30%,10,12
2023-11-02 01:49:36,hpa-server,29%,30%,10,12
2023-11-02 01:49:39,hpa-server,29%,30%,10,12
2023-11-02 01:49:42,hpa-server,29%,30%,10,12
2023-11-02 01:49:45,hpa-server,29%,30%,10,12
2023-11-02 01:49:48,hpa-server,29%,30%,10,12
2023-11-02 01:49:51,hpa-server,29%,30%,10,12
2023-11-02 01:49:55,hpa-server,29%,30%,10,12
2023-11-02 01:49:58,hpa-server,29%,30%,10,12
2023-11-02 01:50:01,hpa-server,29%,30%,10,12
2023-11-02 01:50:04,hpa-server,29%,30%,10,12
2023-11-02 01:50:07,hpa-server,29%,30%,10,12
2023-11-02 01:50:10,hpa-server,17%,30%,10,12
2023-11-02 01:50:13,hpa-server,17%,30%,10,12
2023-11-02 01:50:16,hpa-server,17%,30%,10,12
2023-11-02 01:50:19,hpa-server,17%,30%,10,12
2023-11-02 01:50:22,hpa-server,17%,30%,10,12
2023-11-02 01:50:25,hpa-server,17%,30%,10,12
2023-11-02 01:50:28,hpa-server,17%,30%,10,12
2023-11-02 01:50:31,hpa-server,17%,30%,10,12
2023-11-02 01:50:34,hpa-server,17%,30%,10,12
2023-11-02 01:50:37,hpa-server,17%,30%,10,12
2023-11-02 01:50:40,hpa-server,17%,30%,10,12
2023-11-02 01:50:43,hpa-server,17%,30%,10,12
2023-11-02 01:50:46,hpa-server,17%,30%,10,12
2023-11-02 01:50:49,hpa-server,17%,30%,10,12
2023-11-02 01:50:53,hpa-server,17%,30%,10,12
2023-11-02 01:50:56,hpa-server,17%,30%,10,12
2023-11-02 01:50:59,hpa-server,17%,30%,10,12
2023-11-02 01:51:02,hpa-server,17%,30%,10,12
2023-11-02 01:51:05,hpa-server,17%,30%,10,12
2023-11-02 01:51:08,hpa-server,31%,30%,10,12
2023-11-02 01:51:11,hpa-server,31%,30%,10,12
2023-11-02 01:51:14,hpa-server,31%,30%,10,12
2023-11-02 01:51:17,hpa-server,31%,30%,10,12
2023-11-02 01:51:20,hpa-server,31%,30%,10,12
2023-11-02 01:51:23,hpa-server,31%,30%,10,12
2023-11-02 01:51:26,hpa-server,31%,30%,10,12
2023-11-02 01:51:29,hpa-server,31%,30%,10,12
2023-11-02 01:51:32,hpa-server,31%,30%,10,12
2023-11-02 01:51:35,hpa-server,31%,30%,10,12
2023-11-02 01:51:38,hpa-server,31%,30%,10,12
2023-11-02 01:51:41,hpa-server,31%,30%,10,12
2023-11-02 01:51:44,hpa-server,31%,30%,10,12
2023-11-02 01:51:47,hpa-server,31%,30%,10,12
2023-11-02 01:51:50,hpa-server,31%,30%,10,12
2023-11-02 01:51:53,hpa-server,31%,30%,10,12
2023-11-02 01:51:57,hpa-server,31%,30%,10,12
2023-11-02 01:52:00,hpa-server,31%,30%,10,12
2023-11-02 01:52:03,hpa-server,31%,30%,10,12
2023-11-02 01:52:06,hpa-server,31%,30%,10,12
2023-11-02 01:52:09,hpa-server,2%,30%,10,12
2023-11-02 01:52:12,hpa-server,2%,30%,10,12
2023-11-02 01:52:15,hpa-server,2%,30%,10,12
2023-11-02 01:52:18,hpa-server,2%,30%,10,12
2023-11-02 01:52:21,hpa-server,2%,30%,10,12
2023-11-02 01:52:24,hpa-server,2%,30%,10,12
2023-11-02 01:52:27,hpa-server,2%,30%,10,12
2023-11-02 01:52:30,hpa-server,2%,30%,10,12
2023-11-02 01:52:33,hpa-server,2%,30%,10,12
2023-11-02 01:52:36,hpa-server,2%,30%,10,12
2023-11-02 01:52:39,hpa-server,2%,30%,10,12
2023-11-02 01:52:42,hpa-server,2%,30%,10,12
2023-11-02 01:52:45,hpa-server,2%,30%,10,12
2023-11-02 01:52:48,hpa-server,2%,30%,10,12
2023-11-02 01:52:51,hpa-server,2%,30%,10,12
2023-11-02 01:52:54,hpa-server,2%,30%,10,12
2023-11-02 01:52:57,hpa-server,2%,30%,10,12
2023-11-02 01:53:01,hpa-server,2%,30%,10,12
2023-11-02 01:53:04,hpa-server,2%,30%,10,12
2023-11-02 01:53:07,hpa-server,2%,30%,10,12
2023-11-02 01:53:10,hpa-server,2%,30%,10,12
2023-11-02 01:53:13,hpa-server,2%,30%,10,12
2023-11-02 01:53:16,hpa-server,2%,30%,10,12
2023-11-02 01:53:19,hpa-server,2%,30%,10,12
2023-11-02 01:53:22,hpa-server,2%,30%,10,12
2023-11-02 01:53:25,hpa-server,2%,30%,10,12
2023-11-02 01:53:28,hpa-server,2%,30%,10,12
2023-11-02 01:53:31,hpa-server,2%,30%,10,12
2023-11-02 01:53:34,hpa-server,2%,30%,10,12
2023-11-02 01:53:37,hpa-server,2%,30%,10,12
